,epoch,train_loss,val_loss
0,1,91125.97605705261,521.1781616210938
1,2,89150.73317146301,559.0113525390625
2,3,88526.04173660278,542.385498046875
3,4,88322.43424129486,600.1953735351562
4,5,87985.311668396,672.9666137695312
5,6,88291.31886100769,582.6666259765625
6,7,87414.02153873444,489.5260925292969
7,8,87274.81579589844,607.481689453125
8,9,86738.64767837524,2919.34033203125
9,10,86505.23495674133,892.026611328125
10,11,85788.9808101654,568.684814453125
11,12,84963.49025344849,640.372802734375
12,13,86761.11736869812,567.4115600585938
13,14,83225.58987522125,513.507080078125
14,15,81782.68821334839,609.0501708984375
15,16,80944.00647068024,493.8143615722656
16,17,71393.57083511353,539.4984130859375
17,18,66579.45775794983,505.3050537109375
18,19,52280.66246128082,596.490234375
19,20,67010.23471164703,850.6278686523438
20,21,49473.65859603882,564.8602905273438
21,22,33589.60616874695,514.5364379882812
22,23,24322.979486465454,1193.099365234375
23,24,20667.26716899872,496.2496643066406
24,25,18529.18659877777,534.5125732421875
25,26,17194.762751579285,741.6178588867188
26,27,15839.975253105164,654.7877197265625
27,28,14980.676989555359,587.8826293945312
28,29,14107.701169967651,523.8247680664062
29,30,13399.263879776001,494.45465087890625
